comment_id,parent_comment_id,create_time,video_id,content,user_id,nickname,avatar,sub_comment_count,last_modify_ts
2614662046,0,1585461884,54100790,讲的很好啊，同为研究生，发现我就是个屁。,393359226,拉风的小圳圳,http://i0.hdslb.com/bfs/face/2ac5a5efd4ba0c03c4ceda04ced82a903613e1a0.jpg,5,1.74E+12
2712264443,0,1586790344,54100790,"Python零基础入门学习第一季：av73226894（Python入门）
Python零基础入门学习第二季：av73490610（列表）
Python零基础入门学习第三季：av73634981（if语句）
Python零基础入门学习第四季：av73723925（字典）
Python零基础入门学习第五季：av73892466（While循环）
Python零基础入门学习第六季：av74057287（函数）
Python零基础入门学习第七季：av74928681（类）
Python零基础入门学习第八季：av75167725（文件操作和异常处理）",414883594,竿示翱luanbei,http://i1.hdslb.com/bfs/face/2d98d17443556ff5b952232bb716d692c13d8b56.jpg,4,1.74E+12
5341189398,0,1630828110,54100790,"命令行模式：
A: 在上面插入代码块
B: 在下面插入代码块
X: 剪切选择的代码块
C: 复制选择的代码块
Shift-V: 粘贴到上面
V: 粘贴到下面
Z: 撤销删除
D,D: 删除选中单元			按两下
Shift-L: 在所有单元格中切换行号，并保持设置
Shift-空格: 向上滚动
空格: 向下滚动
Enter: 进入编辑模式
Y: 把代码块变成代码
M: 把代码块变成标签   markdown
上: 选择上面的代码块
下: 选择下面的代码块
Shift-Enter: 运行代码块, 选择下面的代码块
Ctrl-Enter: 运行选中的代码块
Alt-Enter: 运行代码块并且插入下面

编辑模式：
Ctrl-D: 删除整行
Esc: 进入命令行模式
Ctrl-上: 跳到单元格起始处
Ctrl-下: 跳到单元格最后
Ctrl-左: 跳到单词左边
Ctrl-右: 跳到单词右边
Ctrl-]: 缩进		将代码移动一个tab键
Ctrl-[: 取消缩进
Tab: 代码完成或缩进
Shift-Tab: 工具提示
Ctrl-/: 评论				注释
Ctrl-D: 删除整行
Ctrl-U: 撤销选择",312713714,karryqqq,http://i2.hdslb.com/bfs/face/6b8ae08077311f9e8bebf835f5945bc8a1665cd8.jpg,1,1.74E+12
2857024789,0,1588859966,54100790,"up主，为啥我用pip install jupyter以后，cmd输入jupyter notebook他却无法运行jupyter，他报“'jupyter' 不是内部或外部命令，也不是可运行的程序
或批处理文件。”，是不是要安装anaconda？我用的是原生的python,进入python厉害import jupyter是可行的",4947136,KiraYous,https://i1.hdslb.com/bfs/face/fea633b2ffa93521790f4af51622a3c8ff6d3661.jpg,14,1.74E+12
2713495544,0,1586822863,54100790,"中国疫情数据可视化http://cov.aiiyx.cn
世界疫情数据可视化http://cov.aiiyx.cn/world
欢迎沟通交流~",353044942,拾光者1900,http://i1.hdslb.com/bfs/face/8fb3510b7f28ef1a771449d365d40b2ca8168af0.jpg,16,1.74E+12
2300210641,0,1580113847,54100790,"绿色模式：编辑模式，摁Enter进入
蓝色模式：命令模式，摁Esc进入，X删除，Z撤销
markdown模式：解释说明，摁#进入，Enter结束注释
·······摁H自己去学骚操作",34553159,heartwxmddd,https://i2.hdslb.com/bfs/face/69909029d463c111b915e506667b7e0da6b1c16d.jpg,2,1.74E+12
2019065908,0,1570599166,54100790,github.com/TommyZihao/zihaopython,6733466,安翎0,https://i2.hdslb.com/bfs/face/a0bba54719be079764f022148757fe113257be00.jpg,11,1.74E+12
1893738580,0,1566396737,54100790,up主有数据分析教程吗  三连我 声音好听,13303123,OctButterfly,https://i1.hdslb.com/bfs/face/e83b1daf48b98ad10d2c3daa6bd66d280fa5b2bd.jpg,3,1.74E+12
97827140336,0,1641608553,54100790,"敲markdown有＃是因为，＃后要空格。例如 # 这是一号标题。
公式报错是因为，，，，公式编辑要在markdown模式！！！",31546895,萌萌哒小小欣,https://i2.hdslb.com/bfs/face/ff93a39bde2d4918521fcea6a73030f115eac838.jpg,1,1.74E+12
5647897353,0,1635211242,54100790,"我print(""hello"")啥也没显示print也不是绿色",13334416,帅兜儿,https://i1.hdslb.com/bfs/face/f4c499a89effa86fc43cfdb3f52f584bee94864c.jpg,9,1.74E+12
5325587117,0,1630637857,54100790,我用的anaconda里的jupyter notebook，输入代码运行不了。【】里没有内容，运行任何内容都是直接跳下一行，而且不同的内容不会有颜色区别，这个要怎么解决,686867684,水厂白小pikaa,https://i2.hdslb.com/bfs/face/5bcf19f6f1d18f59c9188b7414d83a44a7679011.jpg,12,1.74E+12
3500451420,0,1600306483,54100790,你好，想问一下jupyter打开后里面的new没有Python3是需要怎么解决？,393165778,_今夜我爱你_,https://i1.hdslb.com/bfs/face/3175bdb207b181f0902b4537fb5b04600290c6b5.jpg,2,1.74E+12
2780463674,0,1587746098,54100790,"Python爬虫中国疫情数据可视化http://cov.aiiyx.cn
Python爬虫世界疫情数据可视化http://cov.aiiyx.cn/world
欢迎沟通交流~",353044942,拾光者1900,http://i1.hdslb.com/bfs/face/8fb3510b7f28ef1a771449d365d40b2ca8168af0.jpg,0,1.74E+12
1.55E+11,0,1678155101,437591753,爱死这小破站了，什么都有,3.49326E+15,名望小海,https://i1.hdslb.com/bfs/face/2a2b3c81e92fb1ac798cb0ed66f2cfef9cf42d99.jpg,7,1.74E+12
1.87E+11,0,1695221970,437591753,这些评论和弹幕是在哪里买的，求推荐！,213962838,有一素光,http://i0.hdslb.com/bfs/face/5f3fc8dd1592662132e1f8b86e7a9eedc52a7682.jpg,3,1.74E+12
1.55E+11,0,1678274789,437591753,课程中的大量实战小案例、源码、数据源，作业答案、笔记+课件源码配套练习学习效果更佳 ，加V免费领取： python2688,3.49314E+15,Python金角大王Alex1,https://i2.hdslb.com/bfs/face/d531b21a1a6bf79e7da33c858f90ae6fec30bfbe.jpg,3,1.74E+12
1.60E+11,0,1681184251,437591753,听老师声音就想学习了，和我一样的有没有，哈哈 [脱单doge][脱单doge][脱单doge],77078831,多爪小乌贼,https://i2.hdslb.com/bfs/face/10d23901ca91e8626047288de69e2a2d9ab87db4.jpg,3,1.74E+12
1.94E+11,0,1699954578,437591753,学历本科，文科，工作十年了，现在转行换岗位做这个可以不？年龄上有限制嘛？,1416022093,lalalalaaallaa,https://i0.hdslb.com/bfs/face/member/noface.jpg,4,1.74E+12
2.04E+11,0,1705829400,437591753,我也在学数据分析，技术还是要按照教科书来的。但我心里总觉得这样理性刻板的东西并不能准确描述这个世界，和人。甚至有些时候科学数据本身就是毁灭人类的推手，人类过于相信自己制造的机器，让灵性的成长停止，这颗智子不就用上了么。,6886776,谁喷我谁没钱花,https://i0.hdslb.com/bfs/face/f48cf43d2323a496a2009f0b99dce1d32a8394c9.jpg,2,1.74E+12
1.84E+11,0,1693705908,437591753,感觉视频选集的顺序 有点乱，不同老师，不同课题，前后重复，建议重新排序,631122143,春哥马克,https://i2.hdslb.com/bfs/face/3fb3f8c122b136fe82ab3b277fed5ca3ca2e6e42.jpg,0,1.74E+12
1.81E+11,0,1692071764,437591753,Python，pandas，SQL 、BI都学全了，需要2年时间,290295954,KNIME会计,https://i0.hdslb.com/bfs/face/097085b1f56108183a9866668d3a7c57e5e30973.jpg,11,1.74E+12
1.76E+11,0,1689604852,437591753,我觉得讲的很棒啊，老师声音好听，并且很适合工作场景，课程PPT也做的很干净重点突出,179566791,ludows,http://i0.hdslb.com/bfs/face/member/noface.jpg,0,1.74E+12
2.16E+11,0,1712813114,437591753,"85节课 1：20 讲解如何下钻。3：52秒 如何添加层次结构，如商品类别、国家地区。【选中类别】--右击添加【新的层次结构】，然后把产品子类别，拖到下面里。横纵给带有层次结构的【产品类别】，纵轴给【订单金额】，然后点击钻取。
85节课 8：15秒 制作表+矩阵（即数据透视表） 表格与透视表的讲解，及样式设置。17：45秒 特别演示：条件格式 中，可以有数据条。
19：22秒  导出数据。
19：33秒  占比分析。以及树状图。
23：20秒  组合图的讲解。  “共享轴”就相当于X轴，可以给地区或者分类，其他两个分别放在列值即Y轴上。
24：35秒  散点图的讲解。 X轴、Y轴都不要汇总，才能出来很多组点。汇总和不汇总。
28：35秒  漏斗图的讲解。
29：55秒 瀑布图的讲解。33：55秒  KPI-仪表图。
35：50秒 从应用市场获取更多视觉对象。可以导入词云词+箱图、雷达图、桑基图等。
40：25秒  词云图的介绍。注意 名字的话，需要把分词【分词】关闭，【旋转文本】关闭。
43：02秒 桑基图的讲解。一般用来查看用户流量的。给源、给目标。47：55秒 雷达图。
50：37秒  病例模型的建立讲解。首先，Query中修改名称，【第一行用作标题】。然后给表做关联，进行关系管理。1：07：35秒 新建一个度量值。",11464703,邋遢少女--苏打水Soda,https://i2.hdslb.com/bfs/face/dbf84365d9bdd4ee5f62cac4b26da2229f9ac516.jpg,0,1.74E+12
1.59E+11,0,1680530720,437591753,只要我足够的努力，老板就能过上更好的生活[doge],3.49309E+15,北国的你南城的我,https://i0.hdslb.com/bfs/face/2d94378daa0393cd78a2513a912cd910ea0a0961.jpg,0,1.74E+12
2032422340,0,1571091379,54100790,听up主说话像山西的 是吗！,384104537,Jayson9,https://i2.hdslb.com/bfs/face/5e6e976235d4d897c1fe1c6bb1ee6c3212d666d3.jpg,2,1.74E+12
1.59E+11,0,1680350253,437591753,如果不愿意分享数据源，就不要上传视频占用资源，浪费其他人的时间。,492894483,原来是大肥飞啊,https://i0.hdslb.com/bfs/face/b486dc15e4d8c262adb72a8072773f45a7bbd79b.jpg,3,1.74E+12
1964496124,0,1568636196,54100790,有人有教程里的资料吗？,221470240,雨下寻肖,https://i1.hdslb.com/bfs/face/5e7c256091c4a69b6d691db93426fcf35b4c4802.jpg,0,1.74E+12
2.32E+11,0,1721271931,437591753,那么去哪里找比较好的数据分析案例和报告呢～～,489534921,白龙虾爸爸,https://i0.hdslb.com/bfs/face/421b618f019ca585cff6a9e3d3a58c30b14654c5.jpg,4,1.74E+12
1644738428,0,1559266633,54100790,qq群密码试了一万次都不对[无语],24915894,Sophomoree,https://i0.hdslb.com/bfs/face/3a258dbd60e6945883f002f73e09ef6d398c43de.jpg,5,1.74E+12
